OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-1008,2019-074B,2026-01-02T20:38:41.999971,15.06393318,.0001365,53.0545,122.1405,98.9969,105.9251,0,C,44714,2,1,.12326E-2,.18402E-3,0,0.241,SpaceX-E
STARLINK-1012,2019-074F,2026-01-02T20:43:42.000038,15.06398404,.0001346,53.0554,122.1219,78.2217,265.5035,0,C,44718,2,1,.12613E-2,.18835E-3,0,0.252,SpaceX-E
STARLINK-1017,2019-074L,2026-01-02T20:34:42.000038,15.19171483,.0003407,53.0511,113.9758,134.4939,243.7495,0,C,44723,2,1,.20522E-2,.43844E-3,0,0.245,SpaceX-E
STARLINK-1019,2019-074M,2026-01-02T19:58:42.000038,15.61254375,.0005782,53.0491,102.9279,316.0839,348.8305,0,C,44724,2,1,.17959E-2,.15653E-2,0,0.260,SpaceX-E
STARLINK-1020,2019-074N,2026-01-02T20:38:41.999971,15.06375780,.0001256,53.0544,142.1396,98.9777,215.9625,0,C,44725,2,1,.96831E-3,.14449E-3,0,0.242,SpaceX-E
STARLINK-1031,2019-074Z,2026-01-02T20:18:41.999962,15.65409086,.0001746,53.0458,89.1284,13.7506,249.0694,0,C,44736,2,1,.16034E-2,.16448E-2,0,0.275,SpaceX-E
STARLINK-1036,2019-074AE,2026-01-02T20:10:42.000010,15.12451440,.0001347,53.0545,142.0730,86.8390,40.2719,0,C,44741,2,1,.56209E-1,.10191E-1,0,0.497,SpaceX-E
STARLINK-1039,2019-074AH,2026-01-02T20:24:41.999990,15.16419830,.0002257,53.0464,156.4344,69.4824,135.9253,0,C,44744,2,1,.38701E-2,.76457E-3,0,0.240,SpaceX-E
STARLINK-1042,2019-074AL,2026-01-02T20:51:41.999990,15.46316748,.0002324,53.0460,49.7428,358.5188,20.0892,0,C,44747,2,1,.59791E-3,.30061E-3,0,0.283,SpaceX-E
STARLINK-1043,2019-074AM,2026-01-02T20:46:42.000010,15.47138495,.0001839,53.0528,150.6737,212.5174,206.6359,0,C,44748,2,1,.83015E-3,.42957E-3,0,0.254,SpaceX-E
STARLINK-1046,2019-074AQ,2026-01-02T20:37:42.000010,15.20641194,.0001209,53.0551,161.6447,83.7533,33.8119,0,C,44751,2,1,.43747E-1,.1003E-1,0,0.480,SpaceX-E
STARLINK-1047,2019-074AR,2026-01-02T20:33:41.999990,15.30922089,.0003257,53.0705,93.1613,33.9786,324.9484,0,C,44752,2,1,.59016E-3,.17925E-3,0,0.257,SpaceX-E
STARLINK-1048,2019-074AS,2026-01-02T20:30:42.000019,15.18319376,.0001035,53.0553,121.9177,89.4618,91.6802,0,C,44753,2,1,.38985E-1,.83112E-2,0,1.825,SpaceX-E
STARLINK-1053,2019-074AX,2026-01-02T20:38:41.999971,15.70946869,.0002571,53.0371,53.6610,14.0799,271.7125,0,C,44758,2,1,.94669E-3,.12167E-2,0,0.294,SpaceX-E
STARLINK-1060,2019-074BE,2026-01-02T20:46:42.000010,15.84369731,.0004075,53.0448,96.5761,284.2631,70.1581,0,C,44765,2,1,.11499E-2,.27173E-2,0,0.288,SpaceX-E
STARLINK-1063,2019-074BH,2026-01-02T20:36:41.999962,15.06372370,.0001314,53.0533,162.1467,93.8553,183.5074,0,C,44768,2,1,.76341E-3,.11389E-3,0,0.242,SpaceX-E
STARLINK-1067,2019-074BL,2026-01-02T20:31:41.999981,15.42668856,.0000939,53.0547,159.8338,82.4482,353.0103,0,C,44771,2,1,.25843E-2,.11508E-2,0,1.485,SpaceX-E
STARLINK-1068,2019-074BM,2026-01-02T20:57:42.000019,15.42439030,.0003199,53.0539,137.6507,347.4863,230.5009,0,C,44772,2,1,.25549E-2,.11291E-2,0,0.250,SpaceX-E
STARLINK-1112,2020-001M,2026-01-02T20:53:42.000000,15.71449350,.0008497,53.0441,214.8478,112.9551,196.9554,0,C,44925,2,1,.14565E-2,.19215E-2,0,0.263,SpaceX-E
STARLINK-1114,2020-001P,2026-01-02T20:36:41.999962,15.17799935,.0001528,53.0553,281.7490,93.8705,289.0509,0,C,44927,2,1,.45947E-1,.96877E-2,0,0.465,SpaceX-E
STARLINK-1123,2020-001S,2026-01-02T20:38:41.999971,15.06437292,.0001438,53.0537,282.1398,88.7607,16.0911,0,C,44930,2,1,-.30238E-2,-.45123E-3,0,0.334,SpaceX-E
STARLINK-1144,2020-001V,2026-01-02T20:44:42.000000,15.82689463,.0001552,53.0357,187.7871,267.4367,213.9123,0,C,44933,2,1,.143E-2,.31238E-2,0,0.275,SpaceX-E
STARLINK-1094,2020-001AD,2026-01-02T20:42:41.999990,15.06429992,.0001299,53.0529,262.1290,92.1773,317.7711,0,C,44941,2,1,-.26483E-2,-.39518E-3,0,0.326,SpaceX-E
STARLINK-1122,2020-001AM,2026-01-02T20:39:42.000019,15.06408845,.0001237,53.0535,262.1351,87.3815,191.2661,0,C,44949,2,1,-.1831E-2,-.27315E-3,0,0.308,SpaceX-E
STARLINK-1080,2020-001AZ,2026-01-02T19:52:42.000010,15.35046782,.0001272,53.0550,240.6303,87.6028,155.1414,0,C,44961,2,1,.27572E-1,.98333E-2,0,0.472,SpaceX-E
STARLINK-1090,2020-001BG,2026-01-02T20:33:41.999990,15.06402502,.0001398,53.0533,242.1549,90.0902,155.9495,0,C,44968,2,1,-.67702E-3,-.10103E-3,0,0.258,SpaceX-E
STARLINK-1132,2020-006A,2026-01-02T20:41:42.000029,15.06408910,.000143,53.0561,202.1327,97.3650,38.8379,0,C,45044,2,1,.56712E-1,.86668E-2,0,0.445,SpaceX-E
STARLINK-1131,2020-006D,2026-01-02T20:41:42.000029,15.06434441,.0001751,53.0527,222.6727,88.8493,176.9174,0,C,45047,2,1,-.23378E-2,-.34893E-3,0,0.508,SpaceX-E
STARLINK-1134,2020-006E,2026-01-02T19:24:41.999962,15.34713894,.000494,53.0340,189.5521,81.4253,351.8392,0,C,45048,2,1,.65258E-3,.22343E-3,0,0.251,SpaceX-E
STARLINK-1156,2020-006L,2026-01-02T20:38:41.999971,15.06388089,.000139,53.0528,222.1405,89.3848,325.5231,0,C,45054,2,1,.58494E-4,.87279E-5,0,0.251,SpaceX-E
STARLINK-1159,2020-006P,2026-01-02T19:33:41.999962,15.60640443,.0006849,53.0504,201.0404,135.0828,344.1045,0,C,45057,2,1,.21094E-2,.17977E-2,0,0.258,SpaceX-E
STARLINK-1166,2020-006S,2026-01-02T20:36:41.999962,15.06114603,.0001657,53.0530,222.1456,77.0765,190.3079,0,C,45060,2,1,.59398E-1,.90138E-2,0,1.072,SpaceX-E
STARLINK-1169,2020-006T,2026-01-02T20:16:42.000038,15.06402372,.0001719,53.0527,222.2102,86.6294,65.3658,0,C,45061,2,1,-.89793E-3,-.13398E-3,0,0.294,SpaceX-E
STARLINK-1171,2020-006U,2026-01-02T20:50:42.000029,15.43372519,.0014723,53.0504,205.6909,128.6835,350.6364,0,C,45062,2,1,.28162E-2,.129E-2,0,0.254,SpaceX-E
STARLINK-1133,2020-006W,2026-01-02T20:37:42.000010,15.06398818,.000141,53.0527,202.1447,87.9892,153.1438,0,C,45064,2,1,-.33062E-3,-.49339E-4,0,0.291,SpaceX-E
STARLINK-1167,2020-006AD,2026-01-02T20:38:41.999971,15.06395164,.0001547,53.0564,202.1394,99.1274,5.7747,0,C,45071,2,1,.51401E-1,.78347E-2,0,0.414,SpaceX-E
STARLINK-1168,2020-006AE,2026-01-02T20:31:41.999981,15.06391789,.0001502,53.0534,202.1610,90.5495,327.9688,0,C,45072,2,1,.17278E-4,.25783E-5,0,0.273,SpaceX-E
STARLINK-1172,2020-006AG,2026-01-02T20:46:42.000010,15.06396211,.0001527,53.0524,202.1164,91.8535,323.2313,0,C,45074,2,1,-.71387E-3,-.10651E-3,0,0.325,SpaceX-E
STARLINK-1153,2020-006AN,2026-01-02T20:36:41.999962,15.06217714,.0001417,53.0560,202.1456,86.5832,50.8163,0,C,45080,2,1,.56327E-1,.85611E-2,0,0.574,SpaceX-E
STARLINK-1151,2020-006AP,2026-01-02T20:00:41.999962,15.45062556,.000197,53.0535,197.3422,157.8246,321.8341,0,C,45081,2,1,.29812E-2,.14413E-2,0,0.251,SpaceX-E
STARLINK-1185,2020-006AV,2026-01-02T20:23:42.000029,15.06386207,.0001497,53.0531,182.1868,94.9507,203.4330,0,C,45087,2,1,.3184E-3,.47511E-4,0,0.256,SpaceX-E
STARLINK-1183,2020-006AW,2026-01-02T20:15:41.999990,15.06392259,.000133,53.0529,182.2129,91.6984,56.5345,0,C,45088,2,1,.44442E-3,.6633E-4,0,0.255,SpaceX-E
STARLINK-1152,2020-006BE,2026-01-02T20:13:41.999981,15.30588822,.0003175,53.0423,155.1633,89.4949,76.9107,0,C,45096,2,1,.368E-2,.11095E-2,0,0.244,SpaceX-E
STARLINK-1184,2020-006BG,2026-01-02T20:37:42.000010,15.07158481,.0001544,53.0519,182.0625,129.9722,62.2833,0,C,45098,2,1,.90335E-3,.13768E-3,0,0.242,SpaceX-E
STARLINK-1193,2020-006BJ,2026-01-02T20:28:42.000010,15.06129985,.000143,53.0527,182.1692,82.2682,55.0015,0,C,45100,2,1,.66828E-1,.10177E-1,0,0.915,SpaceX-E
STARLINK-1143,2020-012B,2026-01-02T20:56:41.999971,15.50410731,.0003992,53.0524,288.4833,98.0341,39.8090,0,C,45179,2,1,.8317E-3,.48294E-3,0,0.259,SpaceX-E
STARLINK-1202,2020-012F,2026-01-02T20:33:41.999990,15.06404720,.0001358,53.0538,342.1557,88.1060,87.9388,0,C,45183,2,1,-.10856E-2,-.16198E-3,0,0.423,SpaceX-E
STARLINK-1216,2020-012H,2026-01-02T20:26:42.000000,15.06452889,.0001459,53.0546,342.1751,88.5166,101.1210,0,C,45185,2,1,-.30863E-2,-.46074E-3,0,0.628,SpaceX-E
STARLINK-1225,2020-012K,2026-01-02T20:42:41.999990,15.06430929,.0001332,53.0541,342.1253,97.7859,52.1374,0,C,45187,2,1,-.20537E-2,-.30654E-3,0,0.500,SpaceX-E
STARLINK-1230,2020-012M,2026-01-02T20:44:42.000000,15.06459440,.0001391,53.0531,342.1224,96.4663,40.9928,0,C,45189,2,1,-.32798E-2,-.48967E-3,0,0.623,SpaceX-E
STARLINK-1234,2020-012N,2026-01-02T20:26:42.000000,15.47896227,.0013618,53.0500,283.5199,80.9844,56.2653,0,C,45190,2,1,.19855E-2,.10611E-2,0,0.252,SpaceX-E
STARLINK-1269,2020-012V,2026-01-02T20:41:42.000029,15.06431540,.0001484,53.0538,342.1288,91.2977,334.8767,0,C,45197,2,1,-.25151E-2,-.37533E-3,0,0.534,SpaceX-E
STARLINK-1154,2020-012W,2026-01-02T19:51:41.999962,15.27997820,.000144,53.0554,321.3905,88.8495,301.0443,0,C,45198,2,1,.33687E-1,.9622E-2,0,0.468,SpaceX-E
STARLINK-1199,2020-012Z,2026-01-02T20:38:41.999971,15.06443261,.0001505,53.0535,322.1395,84.7878,320.0547,0,C,45201,2,1,-.30657E-2,-.45754E-3,0,0.467,SpaceX-E
STARLINK-1209,2020-012AE,2026-01-02T20:35:42.000000,15.40242215,.0013849,53.0517,287.0954,79.5280,57.5440,0,C,45206,2,1,.21318E-2,.87778E-3,0,0.251,SpaceX-E
STARLINK-1210,2020-012AF,2026-01-02T20:32:42.000029,15.75572548,.0003419,53.0175,235.1834,187.5907,240.7645,0,C,45207,2,1,.11884E-2,.18685E-2,0,0.271,SpaceX-E
